POID,SupplierID,ProductID,OrderedQty,ReceivedQty,UnitCost_USD,TotalCost_USD,Currency,ExchangeRate,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,IncoTerms,PortOfLoading,FreightCost_USD,BuyerName,ApprovalStatus,Notes,_ingested_at,_source_file,_pipeline_run_id
PO000001,SUP0029,PRD0028,1686,1686.0,1028.65,1734303.9,CAD,0.8148,2023-12-04,2023-12-22,01/19/24,Fully Received,fob,Santos,12546.69,Luca Ferretti,approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
 PO000002 ,SUP0034,PRD0039,4963,4963.0,749.22,3718378.86,NOK,1.1205,08-16-2023,11-05-2023,2023-11-01,Fully Received,fob,Yokohama,7009.87,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000003,SUP0034,PRD0019,4740,0.0,329.23,1560550.2,USD,0.8378,2023-06-03,06-11-2023,,Cancelled,,Hamburg,12711.2,James Chen,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000004,SUP0033,PRD0033,2814,1545.0,2565.28,7218697.92,NOK,1.0,2024-09-16,2024-11-16,2024-11-17, Partially Received ,FOB ,Port of NY,2051.52,David Park,APPROVED,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
  PO000005 ,SUP0022,PRD0027,3609,3609.0,1135.58 USD,4098308.22,BRL,1.286,2024-05-02,2024-05-28,20 June 2024,Fully Received,FCA,Hamburg,18805.94,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000006, SUP0023,PRD0004,2143,1422.0,2367.36,5073252.48,CAD,1.2372,2023-09-02,2023-11-09,11/17/23,Partially Received,,Rotterdam,6390.87,Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000007,SUP0037,PRD0017,1225,0.0,931.27,1140805.75,USD,0.7608,2023-05-16,05/06/2023,,Open,cif,,1145.9,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000008,SUP0036,PRD0039,77,77.0,1258.96,96939.92,JPY,1.0,2024-01-14,2024-01-26,2024-02-20,Fully Received,FOB ,,177.53,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
   PO000009 ,SUP0004,PRD0033,4030,4030.0,2868.38,11559571.4,SEK,1.2455,2024-04-24,2024-05-24,05/31/24,Fully Received,FOB,Rotterdam,24231.08,David Park,Approved,Quality hold pending lab results,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000010,SUP0022,PRD0039,1746,0.0,2997.89,5234315.94,USD,1.0,10 July 2022,2022-10-01,,On Hold,cif,Shanghai,7676.19,Robert Kleinman,Pending,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000011,SUP0021,PRD0038,3479,964.0,2497.15,8687584.85,JPY,1.0,2023-06-27,2023-07-14,2023-07-10,Partially Received,CIF,,19482.79,James Chen,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000012,SUP0003,PRD0023,3702,3036.0,2940.42,10885434.84,BRL,,2024-07-04,09-01-2024,02-Sep-2024,Partially Received,fob,Port of NY,25812.54,James Chen,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000013,SUP0019,PRD0017,1398,717.0,576.14,805443.72,BRL,0.7764,2022-11-03,2022-11-11,2022-11-16,Partially Received,FOB ,Rotterdam,3582.21,Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000014,SUP0025,PRD0015,2628,2628.0,2699.52,7094338.56,EUR,1.0,2023-03-02,2023-03-16,2023-04-01,Fully Received,cif,Vancouver,19450.96,Anna Kowalski,Pending,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000015,SUP0027,PRD0011,496,123.0,2524.99,1252395.04,EUR,1.0988,2024-12-25,2025-02-18,2025-02-15,Partially Received,EXW,Vancouver,3204.68,Robert Kleinman,Pending,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000016,SUP0025,PRD0001,223,0.0,2634.06,587395.38,JPY,1.0,2024-04-22,2024-06-09,,Open,DAP,,1344.99,,APPROVED,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000017,SUP0008,PRD0007,634,634.0,2192.34,1389943.56,JPY,1.0,02-03-2023,04-Apr-2023,2023-04-22,Fully Received,fob,Vancouver,2549.09,David Park,APPROVED,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000018,SUP0004,PRD0029,1533,0.0,1234.32,1892212.56,SEK,1.0,2022-08-06,2022-10-21,,Open,EXW,Rotterdam,7826.55,,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000019,SUP0016,PRD0026,4369,4369.0,2290.7,10008068.3,BRL,1.0,2022-05-20,2022-05-27,2022-05-23,Fully Received,fob,Yokohama,15126.76,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000020,SUP0039,PRD0015,3101,3101.0,679.66,2107625.66,SEK,1.0771,18-Jan-2022,14/02/2022,2022-03-03,Fully Received,FCA,Shanghai,5274.53,Priya Patel,Pending,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000021,SUP0031,PRD0015,272,272.0,462.09,125688.48,EUR,1.0,07-27-2023,2023-08-23,2023-08-20,Fully Received,FOB ,Vancouver,1958.38,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000022,,PRD0027,1452,627.0,2608.05,3786888.6,EUR,1.3132,2022/09/10,2022-09-28,07-Oct-2022,   Partially Received,FCA,Vancouver,10239.2,James Chen,Approved,Expedited shipping requested,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000023,SUP0021,PRD0038,2683,0.0,488.2,1309840.6,CAD,1.255,2023-01-29,2023-02-12,,Cancelled,DDP,Shanghai,"$4,594.69",Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000024,SUP0006,PRD0033,1153,1153.0,2266.07,2612778.71,USD,1.0,2022-10-27,2022-12-02,2022-12-04,Fully Received,fob,Vancouver,8899.25,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
  PO000025,SUP0039,PRD0020,2082,2082.0,1575.66,3280524.12,CAD,1.3195,2024-02-20,2024-04-17,2024-04-17,Fully Received,EXW,Santos,11151.94,Robert Kleinman,Approved,Quality hold pending lab results,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000026,SUP0036,PRD0016,2997,1283.0,2244.67,6727275.99,CAD,1.0,2023-02-19,2023-04-10,2023-04-18,  Partially Received ,FCA,Rotterdam,21698.64,Maria Santos,APPROVED,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000027,SUP0039,PRD0019,4731,4731.0,646.23,3057314.13,BRL,1.0,2022/01/07,02-09-2022,19/02/2022,Fully Received,EXW,Yokohama,36311.93,Robert Kleinman,approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000028,SUP0008,PRD0017,2614,1868.0,1054.6,2756724.4,CAD,1.0,2023-04-25,05-16-2023,16-May-2023,OPEN,DDP,Yokohama,20646.62,Maria Santos,Approved,TBD,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000029,,PRD0033,4643,1669.0,1694.68,7868399.24,NOK,1.1678,2023-03-21,24-May-2023,05-28-2023,Partially Received,DDP,Vancouver,10206.93,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000030,SUP0012,PRD0012,4532,4532.0,1229.07,5570145.24,CAD,1.2681,2024-07-26,2024-08-23,2024-08-28,Fully Received,DAP,Hamburg,34913.55,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000031,SUP0025,PRD0035,3438,3438.0,"$2,813.68",9673431.84,JPY,1.0,2022-06-03,2022-07-02,2022-07-15,Fully Received,EXW,Yokohama,11831.34,Luca Ferretti,Approved,Expedited shipping requested,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000032,SUP0001,PRD0023,4750,4750.0,2109.42,10019745.0,USD,0.8743,2023-02-24,2023-04-15,2023-04-22,Fully Received,FOB,Vancouver,31036.61,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000033,SUP0017,PRD0002,2244,2244.0,1847.75,4146351.0,USD,1.0,2023-06-07,2023-07-01,05/07/2023,Fully Received,EXW,Port of NY,4860.82,James Chen,approved,Expedited shipping requested,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000034,SUP0025,PRD0024,2821,2821.0,2539.95,7165198.95,NOK,1.0,28-Sep-2024,2024/10/21,18 October 2024,Fully Received,FOB ,Yokohama,10940.47,Robert Kleinman,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000035,SUP0037,PRD0034,301,0.0,2011.01,605314.01,SEK,1.0,09 June 2024,2024-07-09,,Open,FCA,,1917.63,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000036,SUP0011,PRD0017,870,0.0,$153.25,133327.5,EUR,1.0,2023-11-01,2023/11/26,,Open,CIF,Vancouver,2001.5,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000037,SUP0014,PRD0012,-177,0.0,2049.59 USD,362777.43,CAD,1.0976,07/14/22,2022-10-07,,Cancelled,EXW,Vancouver,1311.99,Robert Kleinman,Approved,Expedited shipping requested,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000038,SUP0005,PRD0032,2156,2156.0,1645.02,3546663.12,USD,1.0,03-09-2023,2023-05-01,2023-05-29,Fully Received,cif,Hamburg,5498.57,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000039,SUP0012,PRD0009,3965,1154.0,"$1,435.07",5690052.55,CAD,1.0,2023-01-08,2023-01-28,2023-02-05,Partially Received,FOB ,Port of LA,18030.19,Robert Kleinman,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000040,,PRD0039,4331,4331.0,2184.82,9462455.42,EUR,1.0,2024/10/03,2024-11-22,2024-12-16,Fully Received,FOB ,,24540.29,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000041,SUP0018,PRD0009,1330,520.0,1149.68,1529074.4,NOK,1.0,2024-12-11,2025/02/14,2025-02-12,Partially Received,cif,Port of LA,4655.82,James Chen,Approved,TBD,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000042,SUP0022,PRD0016,4920,4920.0,1698.19,8355094.8,JPY,1.2138,29-Dec-2022,02/09/23,2023-02-16,Fully Received,FOB ,Port of LA,"$7,235.43",Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000043,SUP0019,PRD0007,2247,2247.0,1675.47,3764781.09,JPY,,2024-01-09,2024-03-15,2024-03-30,Fully Received,EXW,,5273.19,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
