OrderID,CustomerID,ProductID,Division,OrderedQty,UnitPrice_USD,LineTotal_USD,DiscountPct,OrderDate,RequestedDeliveryDate,Status,SalesChannel,SalesRepID,POReference,SpecialInstructions,IsRush,SourceSystem
SO0000001,   CUST00032 ,PRD0026,North American Distribution,1247,2761.02,3442991.94,13.8,2023-12-30,01-03-2024,On Hold,Agent,REP005,CUST-PO-63466,,0,SQL_Server_Sales
   SO0000002,CUST00042,PRD0039,North American Distribution,-1384,2776.93,3843271.12,10.5,2022-09-25,2022-10-15,Delivered,Broker,REP008,,,0,EDI
SO0000003,CUST00048,PRD0011,Central National,305,2398.28,731475.4,0.6,20 June 2024,2024-07-07,CANCELLED,Inside Sales,REP009,CUST-PO-14050,Fragile - handle with care,1,CRM
SO0000004,CUST00059,PRD0028,Lindenmeyr Publications,1661,203.75,338428.75,2.2,09/03/2024,2024-04-08,Delivered,E-Commerce,REP035,CUST-PO-14085,,0,
SO0000005,CUST00057,PRD0036,Lindenmeyr Publications,158,1269.44,200571.52,19.7,2024/03/15,2024-03-27,Delivered,Broker,REP019,,N/A,0,CRM
SO0000006,CUST00037,PRD0009,North American Distribution,1300,1625.73,2113449.0,2.3,2023-04-06,2023-04-17,Delivered,broker,REP007,CUST-PO-10324,,0,SQL_Server_Sales
SO0000007,CUST00028,PRD0011,lindenmeyr publications,22,2689.15,59161.3,15.6,2024-07-02,2024-08-01,Delivered,Agent,REP001,CUST-PO-60615,Fragile - handle with care,1,CRM
SO0000008,CUST00017,PRD0014,Central National,1417,2103.87,2981183.79,16.3,2023-12-10,12/24/23,Delivered,E-Commerce,REP038,CUST-PO-98187,,0,CRM
SO0000009,CUST00032,PRD0005,Central National,333,2354.78,784141.74,14.4,2022-12-23,2023-01-13,Delivered,Broker,REP030,CUST-PO-90708,,0,SQL_Server_Sales
SO0000010,CUST00016,PRD0017,North American Distribution,456,2762.79,1259832.24,2.7,04/08/24,2024-04-11,  Delivered  ,Inside Sales,REP010,CUST-PO-93969,,1,EDI
SO0000011, CUST00001  ,PRD0003,Central National,409,387.12,158332.08,4.9,2024-12-25,01/19/25,Processing,Broker,,CUST-PO-10292,Fragile - handle with care,0,Web Portal
SO0000012,CUST00066,PRD0021,North American Distribution,1463,1984.88,2903879.44,1.8,2023-02-01,2023/02/19,Delivered,E-Commerce,REP011,CUST-PO-95144,,1,EDI
SO0000013,CUST00005,PRD0032,North American Distribution,834,1803.97,1504510.98,5.1,2023-10-19,2023/11/17,Delivered,E-Commerce,REP016,CUST-PO-69349,TBC,0,CRM
SO0000014,CUST00033,PRD0024,Central National,516,3080.46,1589517.36,0.5,2022-03-31,2022-04-10,Delivered,Direct Sales,REP019,CUST-PO-79605,TBC,No,CRM
