Date,DateKey,Year,Quarter,QuarterName,Month,MonthName,MonthShort,YearMonth,Day,DayOfWeek,DayName,IsWeekend,_gold_built_at
2021-01-01,20210101,2021,1,Q1,1,January,Jan,2021-01,1,5,Friday,False,2026-06-24 00:14:59.277238
2021-01-02,20210102,2021,1,Q1,1,January,Jan,2021-01,2,6,Saturday,True,2026-06-24 00:14:59.277238
2021-01-03,20210103,2021,1,Q1,1,January,Jan,2021-01,3,7,Sunday,True,2026-06-24 00:14:59.277238
2021-01-04,20210104,2021,1,Q1,1,January,Jan,2021-01,4,1,Monday,False,2026-06-24 00:14:59.277238
2021-01-05,20210105,2021,1,Q1,1,January,Jan,2021-01,5,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-01-06,20210106,2021,1,Q1,1,January,Jan,2021-01,6,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-01-07,20210107,2021,1,Q1,1,January,Jan,2021-01,7,4,Thursday,False,2026-06-24 00:14:59.277238
2021-01-08,20210108,2021,1,Q1,1,January,Jan,2021-01,8,5,Friday,False,2026-06-24 00:14:59.277238
2021-01-09,20210109,2021,1,Q1,1,January,Jan,2021-01,9,6,Saturday,True,2026-06-24 00:14:59.277238
2021-01-10,20210110,2021,1,Q1,1,January,Jan,2021-01,10,7,Sunday,True,2026-06-24 00:14:59.277238
2021-01-11,20210111,2021,1,Q1,1,January,Jan,2021-01,11,1,Monday,False,2026-06-24 00:14:59.277238
2021-01-12,20210112,2021,1,Q1,1,January,Jan,2021-01,12,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-01-13,20210113,2021,1,Q1,1,January,Jan,2021-01,13,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-01-14,20210114,2021,1,Q1,1,January,Jan,2021-01,14,4,Thursday,False,2026-06-24 00:14:59.277238
2021-01-15,20210115,2021,1,Q1,1,January,Jan,2021-01,15,5,Friday,False,2026-06-24 00:14:59.277238
2021-01-16,20210116,2021,1,Q1,1,January,Jan,2021-01,16,6,Saturday,True,2026-06-24 00:14:59.277238
2021-01-17,20210117,2021,1,Q1,1,January,Jan,2021-01,17,7,Sunday,True,2026-06-24 00:14:59.277238
2021-01-18,20210118,2021,1,Q1,1,January,Jan,2021-01,18,1,Monday,False,2026-06-24 00:14:59.277238
2021-01-19,20210119,2021,1,Q1,1,January,Jan,2021-01,19,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-01-20,20210120,2021,1,Q1,1,January,Jan,2021-01,20,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-01-21,20210121,2021,1,Q1,1,January,Jan,2021-01,21,4,Thursday,False,2026-06-24 00:14:59.277238
2021-01-22,20210122,2021,1,Q1,1,January,Jan,2021-01,22,5,Friday,False,2026-06-24 00:14:59.277238
2021-01-23,20210123,2021,1,Q1,1,January,Jan,2021-01,23,6,Saturday,True,2026-06-24 00:14:59.277238
2021-01-24,20210124,2021,1,Q1,1,January,Jan,2021-01,24,7,Sunday,True,2026-06-24 00:14:59.277238
2021-01-25,20210125,2021,1,Q1,1,January,Jan,2021-01,25,1,Monday,False,2026-06-24 00:14:59.277238
2021-01-26,20210126,2021,1,Q1,1,January,Jan,2021-01,26,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-01-27,20210127,2021,1,Q1,1,January,Jan,2021-01,27,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-01-28,20210128,2021,1,Q1,1,January,Jan,2021-01,28,4,Thursday,False,2026-06-24 00:14:59.277238
2021-01-29,20210129,2021,1,Q1,1,January,Jan,2021-01,29,5,Friday,False,2026-06-24 00:14:59.277238
2021-01-30,20210130,2021,1,Q1,1,January,Jan,2021-01,30,6,Saturday,True,2026-06-24 00:14:59.277238
2021-01-31,20210131,2021,1,Q1,1,January,Jan,2021-01,31,7,Sunday,True,2026-06-24 00:14:59.277238
2021-02-01,20210201,2021,1,Q1,2,February,Feb,2021-02,1,1,Monday,False,2026-06-24 00:14:59.277238
2021-02-02,20210202,2021,1,Q1,2,February,Feb,2021-02,2,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-02-03,20210203,2021,1,Q1,2,February,Feb,2021-02,3,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-02-04,20210204,2021,1,Q1,2,February,Feb,2021-02,4,4,Thursday,False,2026-06-24 00:14:59.277238
2021-02-05,20210205,2021,1,Q1,2,February,Feb,2021-02,5,5,Friday,False,2026-06-24 00:14:59.277238
2021-02-06,20210206,2021,1,Q1,2,February,Feb,2021-02,6,6,Saturday,True,2026-06-24 00:14:59.277238
2021-02-07,20210207,2021,1,Q1,2,February,Feb,2021-02,7,7,Sunday,True,2026-06-24 00:14:59.277238
2021-02-08,20210208,2021,1,Q1,2,February,Feb,2021-02,8,1,Monday,False,2026-06-24 00:14:59.277238
2021-02-09,20210209,2021,1,Q1,2,February,Feb,2021-02,9,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-02-10,20210210,2021,1,Q1,2,February,Feb,2021-02,10,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-02-11,20210211,2021,1,Q1,2,February,Feb,2021-02,11,4,Thursday,False,2026-06-24 00:14:59.277238
2021-02-12,20210212,2021,1,Q1,2,February,Feb,2021-02,12,5,Friday,False,2026-06-24 00:14:59.277238
2021-02-13,20210213,2021,1,Q1,2,February,Feb,2021-02,13,6,Saturday,True,2026-06-24 00:14:59.277238
2021-02-14,20210214,2021,1,Q1,2,February,Feb,2021-02,14,7,Sunday,True,2026-06-24 00:14:59.277238
2021-02-15,20210215,2021,1,Q1,2,February,Feb,2021-02,15,1,Monday,False,2026-06-24 00:14:59.277238
