POID,OrderDateKey,OrderDate,SupplierID,ProductID,Status,ApprovalStatus,Currency,IncoTerms,PortOfLoading,OrderedQty,ReceivedQty,receipt_rate,UnitCost_USD,TotalCost_USD,FreightCost_USD,ExchangeRate,ExpectedDeliveryDate,ActualDeliveryDate,expected_lead_time_days,actual_lead_time_days,is_late_delivery,_gold_built_at
PO000001,20231204,2023-12-04,SUP0029,PRD0028,Fully Received,Approved,CAD,FOB,Santos,1686.0,1686.0,1.0,1028.65,1734303.9,12546.69,0.8148,2023-12-22,2024-01-19,18.0,46.0,1.0,2026-06-24 00:14:59.277238
PO000002,20230816,2023-08-16,SUP0034,PRD0039,Fully Received,Approved,NOK,FOB,Yokohama,4963.0,4963.0,1.0,749.22,3718378.86,7009.87,1.1205,2023-11-05,2023-11-01,81.0,77.0,0.0,2026-06-24 00:14:59.277238
PO000003,20230603,2023-06-03,SUP0034,PRD0019,Cancelled,Approved,USD,,Hamburg,4740.0,0.0,0.0,329.23,1560550.2,12711.2,0.8378,2023-06-11,,8.0,,,2026-06-24 00:14:59.277238
PO000004,20240916,2024-09-16,SUP0033,PRD0033,Partially Received,Approved,NOK,FOB,Port Of Ny,2814.0,1545.0,0.549,2565.28,7218697.92,2051.52,1.0,2024-11-16,2024-11-17,61.0,62.0,1.0,2026-06-24 00:14:59.277238
PO000005,20240502,2024-05-02,SUP0022,PRD0027,Fully Received,Approved,BRL,FCA,Hamburg,3609.0,3609.0,1.0,,4098308.22,18805.94,1.286,2024-05-28,2024-06-20,26.0,49.0,1.0,2026-06-24 00:14:59.277238
PO000006,20230902,2023-09-02,SUP0023,PRD0004,Partially Received,Approved,CAD,,Rotterdam,2143.0,1422.0,0.6636,2367.36,5073252.48,6390.87,1.2372,2023-11-09,2023-11-17,68.0,76.0,1.0,2026-06-24 00:14:59.277238
PO000007,20230516,2023-05-16,SUP0037,PRD0017,Open,Approved,USD,CIF,<Na>,1225.0,0.0,0.0,931.27,1140805.75,1145.9,0.7608,2023-05-06,,-10.0,,,2026-06-24 00:14:59.277238
PO000008,20240114,2024-01-14,SUP0036,PRD0039,Fully Received,Approved,JPY,FOB,<Na>,77.0,77.0,1.0,1258.96,96939.92,177.53,1.0,2024-01-26,2024-02-20,12.0,37.0,1.0,2026-06-24 00:14:59.277238
PO000009,20240424,2024-04-24,SUP0004,PRD0033,Fully Received,Approved,SEK,FOB,Rotterdam,4030.0,4030.0,1.0,2868.38,11559571.4,24231.08,1.2455,2024-05-24,2024-05-31,30.0,37.0,1.0,2026-06-24 00:14:59.277238
PO000010,20220710,2022-07-10,SUP0022,PRD0039,On Hold,Pending,USD,CIF,Shanghai,1746.0,0.0,0.0,2997.89,5234315.94,7676.19,1.0,2022-10-01,,83.0,,,2026-06-24 00:14:59.277238
PO000011,20230627,2023-06-27,SUP0021,PRD0038,Partially Received,Approved,JPY,CIF,<Na>,3479.0,964.0,0.2771,2497.15,8687584.85,19482.79,1.0,2023-07-14,2023-07-10,17.0,13.0,0.0,2026-06-24 00:14:59.277238
PO000012,20240704,2024-07-04,SUP0003,PRD0023,Partially Received,Approved,BRL,FOB,Port Of Ny,3702.0,3036.0,0.8201,2940.42,10885434.84,25812.54,,2024-09-01,2024-09-02,59.0,60.0,1.0,2026-06-24 00:14:59.277238
PO000013,20221103,2022-11-03,SUP0019,PRD0017,Partially Received,Approved,BRL,FOB,Rotterdam,1398.0,717.0,0.5129,576.14,805443.72,3582.21,0.7764,2022-11-11,2022-11-16,8.0,13.0,1.0,2026-06-24 00:14:59.277238
PO000014,20230302,2023-03-02,SUP0025,PRD0015,Fully Received,Pending,EUR,CIF,Vancouver,2628.0,2628.0,1.0,2699.52,7094338.56,19450.96,1.0,2023-03-16,2023-04-01,14.0,30.0,1.0,2026-06-24 00:14:59.277238
PO000015,20241225,2024-12-25,SUP0027,PRD0011,Partially Received,Pending,EUR,EXW,Vancouver,496.0,123.0,0.248,2524.99,1252395.04,3204.68,1.0988,2025-02-18,2025-02-15,55.0,52.0,0.0,2026-06-24 00:14:59.277238
PO000016,20240422,2024-04-22,SUP0025,PRD0001,Open,Approved,JPY,DAP,<Na>,223.0,0.0,0.0,2634.06,587395.38,1344.99,1.0,2024-06-09,,48.0,,,2026-06-24 00:14:59.277238
