OrderID,OrderDateKey,OrderDate,CustomerID,ProductID,Division,SalesChannel,SalesRepID,Status,OrderedQty,UnitPrice_USD,DiscountPct,discounted_unit_price,LineTotal_USD,calc_line_total_usd,NetAmount_USD,is_return,IsRush,RequestedDeliveryDate,_gold_built_at
SO0000001,20231230,2023-12-30,CUST00032,PRD0026,North American Distribution,Agent,REP005,On Hold,1247.0,2761.02,13.8,2379.9992,3442991.94,2967859.0,2967859.0,False,False,2024-01-03,2026-06-24 00:14:59.277238
SO0000002,20220925,2022-09-25,CUST00042,PRD0039,North American Distribution,Broker,REP008,Delivered,-1384.0,2776.93,10.5,2485.3524,3843271.12,3439727.72,-3439727.72,True,False,2022-10-15,2026-06-24 00:14:59.277238
SO0000003,20240620,2024-06-20,CUST00048,PRD0011,Central National,Inside Sales,REP009,Cancelled,305.0,2398.28,0.6,2383.8903,731475.4,727086.54,727086.54,False,True,2024-07-07,2026-06-24 00:14:59.277238
SO0000004,20240903,2024-09-03,CUST00059,PRD0028,Lindenmeyr Publications,E-Commerce,REP035,Delivered,1661.0,203.75,2.2,199.2675,338428.75,330983.32,330983.32,False,False,2024-04-08,2026-06-24 00:14:59.277238
SO0000005,20240315,2024-03-15,CUST00057,PRD0036,Lindenmeyr Publications,Broker,REP019,Delivered,158.0,1269.44,19.7,1019.3603,200571.52,161058.93,161058.93,False,False,2024-03-27,2026-06-24 00:14:59.277238
SO0000006,20230406,2023-04-06,CUST00037,PRD0009,North American Distribution,Broker,REP007,Delivered,1300.0,1625.73,2.3,1588.3382,2113449.0,2064839.66,2064839.66,False,False,2023-04-17,2026-06-24 00:14:59.277238
SO0000007,20240702,2024-07-02,CUST00028,PRD0011,Lindenmeyr Publications,Agent,REP001,Delivered,22.0,2689.15,15.6,2269.6426,59161.3,49932.14,49932.14,False,True,2024-08-01,2026-06-24 00:14:59.277238
SO0000008,20231210,2023-12-10,CUST00017,PRD0014,Central National,E-Commerce,REP038,Delivered,1417.0,2103.87,16.3,1760.9392,2981183.79,2495250.85,2495250.85,False,False,2023-12-24,2026-06-24 00:14:59.277238
SO0000009,20221223,2022-12-23,CUST00032,PRD0005,Central National,Broker,REP030,Delivered,333.0,2354.78,14.4,2015.6917,784141.74,671225.34,671225.34,False,False,2023-01-13,2026-06-24 00:14:59.277238
SO0000010,20240408,2024-04-08,CUST00016,PRD0017,North American Distribution,Inside Sales,REP010,Delivered,456.0,2762.79,2.7,2688.1947,1259832.24,1225816.78,1225816.78,False,True,2024-04-11,2026-06-24 00:14:59.277238
