POID,SupplierID,ProductID,OrderedQty,ReceivedQty,UnitCost_USD,TotalCost_USD,Currency,ExchangeRate,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,IncoTerms,PortOfLoading,FreightCost_USD,BuyerName,ApprovalStatus,Notes,_silver_transformed_at,actual_lead_time_days,expected_lead_time_days,is_late_delivery,receipt_rate
PO000001,SUP0029,PRD0028,1686.0,1686.0,1028.65,1734303.9,CAD,0.8148,2023-12-04,2023-12-22,2024-01-19,Fully Received,FOB,Santos,12546.69,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,46.0,18.0,1.0,1.0
PO000002,SUP0034,PRD0039,4963.0,4963.0,749.22,3718378.86,NOK,1.1205,2023-08-16,2023-11-05,2023-11-01,Fully Received,FOB,Yokohama,7009.87,Maria Santos,Approved,,2026-06-24 00:14:16.766567,77.0,81.0,0.0,1.0
PO000003,SUP0034,PRD0019,4740.0,0.0,329.23,1560550.2,USD,0.8378,2023-06-03,2023-06-11,,Cancelled,<NA>,Hamburg,12711.2,James Chen,Approved,,2026-06-24 00:14:16.766567,,8.0,,0.0
PO000004,SUP0033,PRD0033,2814.0,1545.0,2565.28,7218697.92,NOK,1.0,2024-09-16,2024-11-16,2024-11-17,Partially Received,FOB,Port Of Ny,2051.52,David Park,Approved,,2026-06-24 00:14:16.766567,62.0,61.0,1.0,0.549
PO000005,SUP0022,PRD0027,3609.0,3609.0,,4098308.22,BRL,1.286,2024-05-02,2024-05-28,2024-06-20,Fully Received,FCA,Hamburg,18805.94,Priya Patel,Approved,,2026-06-24 00:14:16.766567,49.0,26.0,1.0,1.0
PO000006,SUP0023,PRD0004,2143.0,1422.0,2367.36,5073252.48,CAD,1.2372,2023-09-02,2023-11-09,2023-11-17,Partially Received,<NA>,Rotterdam,6390.87,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,76.0,68.0,1.0,0.6636
PO000007,SUP0037,PRD0017,1225.0,0.0,931.27,1140805.75,USD,0.7608,2023-05-16,2023-05-06,,Open,CIF,<Na>,1145.9,Maria Santos,Approved,,2026-06-24 00:14:16.766567,,-10.0,,0.0
PO000008,SUP0036,PRD0039,77.0,77.0,1258.96,96939.92,JPY,1.0,2024-01-14,2024-01-26,2024-02-20,Fully Received,FOB,<Na>,177.53,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,37.0,12.0,1.0,1.0
PO000009,SUP0004,PRD0033,4030.0,4030.0,2868.38,11559571.4,SEK,1.2455,2024-04-24,2024-05-24,2024-05-31,Fully Received,FOB,Rotterdam,24231.08,David Park,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,37.0,30.0,1.0,1.0
PO000010,SUP0022,PRD0039,1746.0,0.0,2997.89,5234315.94,USD,1.0,2022-07-10,2022-10-01,,On Hold,CIF,Shanghai,7676.19,Robert Kleinman,Pending,,2026-06-24 00:14:16.766567,,83.0,,0.0
PO000011,SUP0021,PRD0038,3479.0,964.0,2497.15,8687584.85,JPY,1.0,2023-06-27,2023-07-14,2023-07-10,Partially Received,CIF,<Na>,19482.79,James Chen,Approved,,2026-06-24 00:14:16.766567,13.0,17.0,0.0,0.2771
PO000012,SUP0003,PRD0023,3702.0,3036.0,2940.42,10885434.84,BRL,,2024-07-04,2024-09-01,2024-09-02,Partially Received,FOB,Port Of Ny,25812.54,James Chen,Approved,,2026-06-24 00:14:16.766567,60.0,59.0,1.0,0.8201
PO000013,SUP0019,PRD0017,1398.0,717.0,576.14,805443.72,BRL,0.7764,2022-11-03,2022-11-11,2022-11-16,Partially Received,FOB,Rotterdam,3582.21,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,13.0,8.0,1.0,0.5129
PO000014,SUP0025,PRD0015,2628.0,2628.0,2699.52,7094338.56,EUR,1.0,2023-03-02,2023-03-16,2023-04-01,Fully Received,CIF,Vancouver,19450.96,Anna Kowalski,Pending,,2026-06-24 00:14:16.766567,30.0,14.0,1.0,1.0
