OrderID,CustomerID,ProductID,Division,OrderedQty,UnitPrice_USD,LineTotal_USD,DiscountPct,OrderDate,RequestedDeliveryDate,Status,SalesChannel,SalesRepID,POReference,SpecialInstructions,IsRush,SourceSystem,_silver_transformed_at,is_return,discounted_unit_price,calc_line_total_usd
SO0000001,CUST00032,PRD0026,North American Distribution,1247.0,2761.02,3442991.94,13.8,2023-12-30,2024-01-03,On Hold,Agent,REP005,CUST-PO-63466,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,2379.9992,2967859.0
SO0000002,CUST00042,PRD0039,North American Distribution,-1384.0,2776.93,3843271.12,10.5,2022-09-25,2022-10-15,Delivered,Broker,REP008,,,False,EDI,2026-06-24 00:14:16.766567,True,2485.3524,3439727.72
SO0000003,CUST00048,PRD0011,Central National,305.0,2398.28,731475.4,0.6,2024-06-20,2024-07-07,Cancelled,Inside Sales,REP009,CUST-PO-14050,Fragile - handle with care,True,CRM,2026-06-24 00:14:16.766567,False,2383.8903,727086.54
SO0000004,CUST00059,PRD0028,Lindenmeyr Publications,1661.0,203.75,338428.75,2.2,2024-09-03,2024-04-08,Delivered,E-Commerce,REP035,CUST-PO-14085,,False,,2026-06-24 00:14:16.766567,False,199.2675,330983.32
SO0000005,CUST00057,PRD0036,Lindenmeyr Publications,158.0,1269.44,200571.52,19.7,2024-03-15,2024-03-27,Delivered,Broker,REP019,,,False,CRM,2026-06-24 00:14:16.766567,False,1019.3603,161058.93
SO0000006,CUST00037,PRD0009,North American Distribution,1300.0,1625.73,2113449.0,2.3,2023-04-06,2023-04-17,Delivered,Broker,REP007,CUST-PO-10324,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1588.3382,2064839.66
SO0000007,CUST00028,PRD0011,Lindenmeyr Publications,22.0,2689.15,59161.3,15.6,2024-07-02,2024-08-01,Delivered,Agent,REP001,CUST-PO-60615,Fragile - handle with care,True,CRM,2026-06-24 00:14:16.766567,False,2269.6426,49932.14
SO0000008,CUST00017,PRD0014,Central National,1417.0,2103.87,2981183.79,16.3,2023-12-10,2023-12-24,Delivered,E-Commerce,REP038,CUST-PO-98187,,False,CRM,2026-06-24 00:14:16.766567,False,1760.9392,2495250.85
SO0000009,CUST00032,PRD0005,Central National,333.0,2354.78,784141.74,14.4,2022-12-23,2023-01-13,Delivered,Broker,REP030,CUST-PO-90708,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,2015.6917,671225.34
SO0000010,CUST00016,PRD0017,North American Distribution,456.0,2762.79,1259832.24,2.7,2024-04-08,2024-04-11,Delivered,Inside Sales,REP010,CUST-PO-93969,,True,EDI,2026-06-24 00:14:16.766567,False,2688.1947,1225816.78
